htm,alg,notes
11,B F' U B' F U2 B' F' U2 B F,
11,B F' U B' F U2 L R U2 L' R',
11,B F' U B' F' D' U' L2 D U F2,
11,B F' U B' F' L2 B F L2 B' F,
11,B F' U B' F' U' D' L2 U D F2,
11,B F' U B2 L R' U2 L' R B' F,
11,B F' U B2 L' R' U2 L R B F,
11,B F' U D B L B' U D' B' F,
11,B F' U D B L' B' U D' B' F,
11,B F' U D B' U2 B U' D' B' F,
11,B F' U D F U F' U D' B' F,
11,B F' U D F U' F' U D' B' F,
11,B F' U D F U2 F' U' D' B' F,
11,B F' U D F' L' F U' D' B' F,
11,B F' U D F' L2 F U' D' B' F,
11,B F' U D L U L U' D' B' F,
11,B F' U D L U2 L U D' B' F,
11,B F' U D L U2 L U' D' B' F,
11,B F' U D L U2 L' U D' B' F,
11,B F' U D L U2 L2 U D' B' F,
11,B F' U D L' U D' B2 U2 B F,
11,B F' U D L' U L' U' D' B' F,
11,B F' U D L' U L2 U' D' B' F,
11,B F' U D L' U' L' U' D' B' F,
11,B F' U D L' U' L2 U' D' B' F,
11,B F' U D L' U2 L U' D' B' F,
11,B F' U D L' U2 L' U' D' B' F,
11,B F' U D L' U2 L2 U' D' B' F,
11,B F' U D L2 U D' B2 U B F,
11,B F' U D L2 U L' U' D' B' F,
11,B F' U D L2 U' L' U' D' B' F,
11,B F' U D L2 U2 L U D' B' F,
11,B F' U D L2 U2 L' U D' B' F,
11,B F' U D L2 U2 L' U' D' B' F,
11,B F' U D L2 U2 L2 U D' B' F,
11,B F' U D' B' U2 B U' D B' F,
11,B F' U D' L U2 L' U D B' F,
11,B F' U F2 L' R D2 L R' B F',
11,B F' U F2 L' R' D2 L R B' F',
11,B F' U L R' F2 D2 L' R B' F',
11,B F' U L' R B L R' U B' F,
11,B F' U L' R B L R' U2 B' F,
11,B F' U L' R B' L R' U' B' F,
11,B F' U L' R B2 L R' U2 B' F,
11,B F' U L2 D' U B2 D U B F,
11,B F' U L2 U D' B2 U D B F,
11,B F' U' B F D' U' R D U B2,
11,B F' U' B F D' U' R' D U B2,
11,B F' U' B F D' U' R2 D U B2,
11,B F' U' B F R2 B F R2 B F',
11,B F' U' B F U' D' R U D B2,
11,B F' U' B F U' D' R' U D B2,
11,B F' U' B F U' D' R2 U D B2,
11,B F' U' B F' D U' L2 D' U F2,
11,B F' U' B F' D2 B' F' D2 B' F',
11,B F' U' B F' U' D L2 U D' F2,
11,B F' U' B' F D U B2 D' U R2,
11,B F' U' B' F D U' B2 D' U R2,
11,B F' U' B' F D' U R2 D U' B2,
11,B F' U' B' F D' U' R2 D U' B2,
11,B F' U' B' F L' R B2 L R' B2,
11,B F' U' B' F U B F' U' B' F,
11,B F' U' B' F U B' F' U' B F,
11,B F' U' B' F U B' F' U2 B F,
11,B F' U' B' F U D B2 U D' R2,
11,B F' U' B' F U D' R2 U' D B2,
11,B F' U' B' F U L R U L' R',
11,B F' U' B' F U L R U2 L' R',
11,B F' U' B' F U L R' U L' R,
11,B F' U' B' F U L R' U' L' R,
11,B F' U' B' F U L R' U2 L' R,
11,B F' U' B' F U' B F' U B' F,
11,B F' U' B' F U' B' F' U B F,
11,B F' U' B' F U' B' F' U2 B F,
11,B F' U' B' F U' D B2 U D' R2,
11,B F' U' B' F U' D' R2 U' D B2,
11,B F' U' B' F U' L R U' L' R',
11,B F' U' B' F U' L R U2 L' R',
11,B F' U' B' F U' L R' U L' R,
11,B F' U' B' F U' L R' U' L' R,
11,B F' U' B' F U' L R' U2 L' R,
11,B F' U' B' F U2 B F' U B' F,
11,B F' U' B' F U2 B' F' U2 B F,
11,B F' U' B' F U2 L R U2 L' R',
11,B F' U' B' F U2 L R' U L' R,
11,B F' U' B' F U2 L R' U' L' R,
11,B F' U' B' F U2 L R' U2 L' R,
11,B F' U' B' F' D' U' L D U F2,
11,B F' U' B' F' D' U' L' D U F2,
11,B F' U' B' F' D' U' L2 D U F2,
11,B F' U' B' F' L2 B F L2 B' F,
11,B F' U' B' F' U' D' L U D F2,
11,B F' U' B' F' U' D' L' U D F2,
11,B F' U' B' F' U' D' L2 U D F2,
11,B F' U' B2 L R' U2 L' R B' F,
11,B F' U' B2 L' R' U L R B F,
11,B F' U' B2 L' R' U' L R B F,
11,B F' U' B2 L' R' U2 L R B F,
11,B F' U' D B L B' U D' B' F,
11,B F' U' D B L B' U' D' B' F,
11,B F' U' D B L2 B' U' D' B' F,
11,B F' U' D B' U B U' D' B' F,
11,B F' U' D B' U2 B U D' B' F,
11,B F' U' D B' U2 B U' D' B' F,
11,B F' U' D F U F' U' D' B' F,
11,B F' U' D F U2 F' U' D' B' F,
11,B F' U' D F' L F U' D' B' F,
11,B F' U' D F' L2 F U' D' B' F,
11,B F' U' D L U D' B2 U' B F,
11,B F' U' D L U L U' D' B' F,
11,B F' U' D L U' L U D' B' F,
11,B F' U' D L U' L U' D' B' F,
11,B F' U' D L U' L' U D' B' F,
11,B F' U' D L U' L2 U D' B' F,
11,B F' U' D L U2 L U' D' B' F,
11,B F' U' D L' U D' B2 U' B F,
11,B F' U' D L' U L' U' D' B' F,
11,B F' U' D L' U' L U' D' B' F,
11,B F' U' D L' U' L' U D' B' F,
11,B F' U' D L' U' L' U' D' B' F,
11,B F' U' D L' U' L2 U D' B' F,
11,B F' U' D L' U2 L U' D' B' F,
11,B F' U' D L' U2 L' U' D' B' F,
11,B F' U' D L2 U D' B2 U' B F,
11,B F' U' D L2 U' L U D' B' F,
11,B F' U' D L2 U' L' U D' B' F,
11,B F' U' D L2 U2 L U D' B' F,
11,B F' U' D L2 U2 L U' D' B' F,
11,B F' U' D L2 U2 L' U D' B' F,
11,B F' U' D' B' U B U' D B' F,
11,B F' U' D' B' U2 B U D B' F,
11,B F' U' D' B' U2 B U' D B' F,
11,B F' U' D' L U' L' U D B' F,
11,B F' U' D' R2 U2 R2 U' D B' F,
11,B F' U' F2 L' R D2 L R' B F',
11,B F' U' F2 L' R' D L R B' F',
11,B F' U' F2 L' R' D' L R B' F',
11,B F' U' F2 L' R' D2 L R B' F',
11,B F' U' L R' F2 D2 L' R B' F',
11,B F' U' L' R B L R' U B' F,
11,B F' U' L' R B L R' U' B' F,
11,B F' U' L' R B' L R' U B' F,
11,B F' U' L' R B' L R' U' B' F,
11,B F' U' L' R B' L R' U2 B' F,
11,B F' U' L' R B2 L R' U2 B' F,
11,B F' U' L2 D' U B2 D U' B F,
11,B F' U' L2 U D' B2 U' D B F,
11,B F' U2 B F R2 B F R2 B F',
11,B F' U2 B F' D2 B' F' D2 B' F',
11,B F' U2 B' F U B F' U B' F,
11,B F' U2 B' F U B F' U' B' F,
11,B F' U2 B' F U B' F' U' B F,
11,B F' U2 B' F U B' F' U2 B F,
11,B F' U2 B' F U L R U L' R',
11,B F' U2 B' F U L R U2 L' R',
11,B F' U2 B' F U' B F' U B' F,
11,B F' U2 B' F U' B F' U2 B' F,
11,B F' U2 B' F U' B' F' U B F,
11,B F' U2 B' F U' B' F' U2 B F,
11,B F' U2 B' F U' L R U' L' R',
11,B F' U2 B' F U' L R U2 L' R',
