alg,notes
B U' F' L2 U' L2 U L2 B' F,c
F U' B' U F' U2 R' U R B,c
F U' B' U R U R' U' B F',c
R U' B L U L' B2 R B R2,c
L U' F U F' L' U' L U2 L',RFU c
B U' L U L' B' U2 B U' B',RFU c
B U' L' B L B' L U L' B',RFU c
B U' L' B L B2 U' R' U2 R,c
R U' B' U B U R' B' U2 B,RFU c
R U' B' U2 B U R' B' U B,RFU c
L U' B' D2 B U B' D2 B L',c
F U' L' B' U B L F U' F2,c
B U' R' U L U' R U L' B',c
B U' R' U L2 U' R U L2 B',c
B U' R' U' F' U F R U2 B',c
L U' B' U2 F U F' U2 B L',c
B U' R2 D2 F L2 D F' D R2,c
F U2 B' F R' F' R B U2 F',c
B U2 B R2 F R F' R2 B2 R',c
R U2 L' R' B' R2 B' R2 B2 L,c
L U2 L' R' U L U' R U2 L',c
R U2 R' B R B' U2 B R' B',RFU c
R U2 R' B' U R U R' U' B,RFU c
L U2 L' B' R' F' U2 F R B,c
F U2 F' L' U L U' F U2 F',RFU c
R U2 R' F' U F U2 R U' R',RFU c
B U2 B' R2 F' L F' L' F2 R2,c
L U2 L' U L F U' F' U L',RFU c
B U2 B' U R' U' R B U2 B',RFU c
B U2 B' U' B' R B R2 U R,RFU c
B U2 B' U' B2 L' B' L U' B',RFU c
L U2 L' U' F' L U' L' U F,RFU c
B U2 B' U' R' F' U2 F U R,c
L U2 L' U' B' U R' U' R B,c
B U2 B' U' R' U R B U' B',RFU c
B U2 B' U' R' U' F' U' F R,c
L U2 L' U' B' U' B L U' L',RFU c
B U2 B' U' R' U2 F' U' F R,c
B U2 B' U' R' U2 R B U' B',RFU c
L U2 L' U' B2 R B R' U' B,c
L U2 L' U2 L U' F' L F L2,RFU c
B U2 B' U2 B' F R B R' F',c
L U2 L' U2 R' U L U' L' R,c
F U2 F' U2 R' F' L F L' R,c
R U2 R2 D' F2 U' F2 U D R,c
R U2 R2 U D2 L2 U' L2 D2 R,c
L U2 L2 B L B R B R' B,c
B U2 B2 R B R' U' B U' B',RFU c
F U2 F2 L2 B L B' L2 F L',c
L U2 L2 B2 R B' L B2 R' B,c
L U2 L2 U' B' U B L2 U' L',RFU c
F U2 B D2 B' U2 B D2 B' F',c
L U2 R F R' U2 R F' L' R',c
B U2 F' L U' L' U F U2 B',c
B U2 F' L' B L B' F U2 B',c
B U2 F' L' B L' B' L2 B' F,c
B U2 F' U B' U' B F U2 B',c
B U2 F' U F U2 B' F' U F,c
F U2 B' U' R U R' B U2 F',c
B U2 F' U2 F U F' U B' F,c
B U2 L F U' F' U' L' U' B',c
R U2 B' R2 B R2 F' U2 F R',c
R U2 B' D' B U2 B' D B R',c
L U2 B U' F U B' U2 F' L',c
R U2 F' D2 F U2 F' D2 F R',c
F U2 L' B' U' B U L U F',c
R U2 F' U2 B U2 B' U2 F R',c
R U2 F' U2 F R2 B' R2 B R',c
L' D F2 D' B D F2 D' B' L,c
F' D R2 D' L2 D R2 D' L2 F,c
F' D L' D' B' F L U L' B,c
R' D' L F' L' D R F' U F,c
F' D' L' D B' F L' U L B,c
R' U' D' F2 U F2 D R2 U2 R',c
F' D2 F2 R F2 D2 B2 L B2 F,c
F' D2 F2 L D2 B2 U2 R B2 F,c
R' D2 L2 U L2 U' D2 R2 U2 R',c
B' F' D2 B U B' D2 B U' F,c
L' R' D2 R U2 R' D2 R U2 L,c
L' R' F' L F R F' L' F L,c
L' R' F' L U' L' F L U R,c
L' R' B' R U2 R' B R U2 L,c
B' F' L' B2 L F L' B2 L B,c
L' R' F' R B' R' F R B L,c
L' R' B' L F2 L' B L F2 R,c
B' F' L2 D2 B' F' R2 D2 F2 L2,c
B' F' U B2 U' F U B2 U' B,c
B' F' U2 B F L R U2 L' R',c
B' F' U2 F U F' U2 B U' F,c
L' R2 D L U L' D' L U' R2,c
L' R2 D B D' B' R' B L R',c
B' F2 D R' D' B F2 L' U L,c
L' R2 D2 L U L' D2 L U' R2,c
L' R2 D2 L' D2 L R2 B L B',c
B2 F' D2 F2 R F2 D2 B2 L F,c
B2 F' D2 F2 L D2 B2 U2 R F,c
L' R2 F' U2 R2 D2 B' L2 D2 L,c
L' R2 B' L F2 L' B L F2 R2,c
L' R2 B' R2 D2 L2 F' L2 D2 L,c
L2 R' F' L2 F R F' L2 F L2,c
B' F2 R2 B L2 B' R2 B L2 F2,c
L2 R' F2 L' F2 L2 R B L B',c
B2 F' U B' U' F U B U' B2,c
L2 R' U L2 U' R U L2 U' L2,c
R' B D2 B' U B D2 B' U' R,c
B' L D2 L' U2 L D2 L' U2 B,c
L' F U R U' F' L F R' F',c
R' B U' B' L' R D B D' L,c
B' L U2 L' B2 R B2 R' U2 B,c
R' B U2 F' U F U2 B' U' R,c
B' L U2 R' U2 R U2 L' U2 B,c
L' F' L F R' F' L' F L R,c
L' F' L U' L' F L F' U F,RFU c
L' F' L U2 L' F L F' U2 F,RFU c
B' L' B2 L B' D' R2 U R2 D,c
B' L' B2 L F' L' B2 L B F,c
R' B' U' B L' R D' B D L,c
L' F' U2 R2 D2 B' L2 D2 L R2,c
F' L F L' R U' L' U L R',c
B' R B L R2 F2 R' F2 L' R2,c
B' R B L' B' R' U' B U L,c
B' R B L2 R D2 R' D2 L2 R',c
L' B L B' R B L' B' L R',c
B' R B R' U' B L U L' B',c
B' R B R' U' R' F' U F R,c
B' R B R' U2 B2 L' B' L B',c
L' B L U L' B' L B U' B',RFU c
F' L F U F' U' L2 U L F,RFU c
R' F R' D2 L B' L' D2 R2 F',c
R' F R' D2 B' D' B D' R2 F',c
F' L F' L' F' R' F' R2 U2 R',c
R' F R' F' R2 U2 B' R B R',c
F' L F2 R' F R F2 L2 U2 L,c
F' L F2 R' F L' F2 R2 U2 R',c
B' R B2 R' B2 L U2 L' U2 B,c
F' L D R2 D' L' D R2 D' F,c
F' L D L' U' L D' L' U F,c
F' L D L' U2 L D' L' U2 F,c
B' R U R2 U R2 U2 R' U B,RFU c
R' F U' F' U R U' F U F',RFU c
L' B U2 B' L B L' U2 L B',RFU c
R' F' L' R U' L U R' F R,c
R' F' R B R' U' F U R B',c
B' R' B L' B' R U' B U L,c
B' R' B L' B' R2 B' R' B2 L,c
L' B' L F' L' U B U' L F,c
L' B' L U' R' U L' R B L,c
R' F' L F L' R U' L' U L,c
L' B' R B L R' U2 R' U2 R,c
B' R' F R' D' F D F2 R2 B,c
R' F' L F' L' F U' F U R,c
L' B' R B2 D B D' R' B2 L,c
L' B' R' F' R B R' F L R,c
L' B' R' B L B' U' R U B,c
R' F' L' U L F R B U' B',c
L' B' R' U2 R B L F U2 F',c
L' B' R2 D2 L2 F' L2 D2 L R2,c
F' L' U B' U' B U' L U F,c
F' L' U B' U' B2 L' B' L2 F,c
L' B' U R' U' B L B' R B,c
L' B' U F U' B U F' U' L,c
F' L' U L F R B U' B' R',c
L' B' U B L U' F' L F L',c
L' B' U B L' B L B' U' L,RFU c
R' F' U F U R U B U2 B',c
R' F' U F U F' U2 F U R,RFU c
F' L' U L U' F U R U2 R',c
F' L' U L U' L' U2 L U F,RFU c
R' F' U F U2 R U B U2 B',c
R' F' U F U2 F' U2 F U R,RFU c
F' L' U' R U' L U R' U F,c
R' F' U' F R B L U L' B',c
R' F' U' F R U R B' R' B,c
F' L' U' L F' L F L' U F,RFU c
F' L' U' L F2 R' F' R2 U' R',c
B' R' U' R U R' U' R U B,RFU c
R' F' U' F U' R U R' U R,RFU c
F' L' U' L U2 B U' F U B',c
R' F' U' F2 U R U' R' F' R,RFU c
F' L' U' L2 U L' F L U' L',RFU c
F' L' U2 R' U L U' R U2 F,c
B' R' U2 R U B U2 B' U' B,RFU c
F' L' U2 L U B' U F U' B,c
R' F2 R F2 L' U' R U' L R',c
B' R2 B' L2 B' F2 L2 B' R2 F2,c
R' F2 L' R2 U' L U R2 F2 R,c
F' L2 F2 R' F R F2 L U2 L,c
F' L2 F2 U' B' U B F2 L2 F,c
R' F2 D B2 D' F2 D B2 D' R,c
R' F2 D' L D' L' D2 F' R F',c
L' B2 D' B U' B' D B2 U L,c
