alg,notes
U R U' R U' R U R2,
U R U' R U' R' U R2,
U R U' R U' R2 U R2,
U R U' R U2 R U2 R2,
U R U' R U2 R' U2 R2,
U R U' R U2 R2 U2 R2,
U R U' R' B' R B R',
U R U' R' F R2 F' R2,
U R U' R' U B U B',
U R U' R' U B U' B',
U R U' R' U B U2 B',
U R U' R' U R' U R,
U R U' R' U R' U' R,
U R U' R' U R' U2 R,
U R U' R' U' B U B',
U R U' R' U' B U' B',
U R U' R' U' B U2 B',
U R U' R' U' R' U R,
U R U' R' U' R' U' R,
U R U' R' U' R' U2 R,
U R U' R' U2 B U B',
U R U' R' U2 B U' B',
U R U' R' U2 B U2 B',
U R U' R' U2 R' U R,
U R U' R' U2 R' U' R,
U R U' R' U2 R' U2 R,
U R U' R2 B' R B R,
U R U' R2 B' R' B R,
U R U' R2 B' R2 B R,
U R U' R2 F R' F' R2,
U R U' R2 F' U F R,
U R U' R2 F' U' F R,
U R U' R2 F' U2 F R,
U R U2 B U2 B2 R' B,
U R U2 F R' F' U' R',
U R U2 R U R2 U' R2,
U R U2 R' B' R2 B R2,
U R U2 R' F R2 F' R2,
U R U2 R2 U F R F',
U R U2 R2 U R2 U R',
U R U2 R2 U' F R F',
U R U2 R2 U' R2 U R',
U R U2 R2 U' R2 U2 R',
U R U2 R2 U2 F R F',
U R U2 R2 U2 R2 U R',
U R U2 R2 U2 R2 U' R',
U R' B' R B R2 U' R',
U R' B' R' B R2 U' R',
U R' B' R2 B R2 U' R',
U R' B' U' R2 U B R,
U R' D B2 U2 B2 D' R,
U R' F R D R2 D' F',
U R' F' U F R2 U' R',
U R' F' U' F R2 U' R',
U R' F' U2 F R2 U' R',
U R' U B' R B U R,
U R' U B' R B U' R,
U R' U B' R B U2 R,
U R' U F R F2 U2 F,
U R' U F' U2 F2 R F',
U R' U R U F' U F,
U R' U R U R U R',
U R' U R U' R U' R',
U R' U R U2 F' U' F,
U R' U R U2 R U R',
U R' U R' B' R' B R',
U R' U R' U R' U' R2,
U R' U R' U2 R U2 R2,
U R' U R2 B' R B R2,
U R' U R2 U2 B' R' B,
U R' U R2 U2 R2 U R,
U R' U R2 U2 R2 U' R,
U R' U R2 U2 R2 U2 R,
U R' U' B' R2 B U R,
U R' U' B' R2 B U' R,
U R' U' B' R2 B U2 R,
U R' U' F' U' F2 R F',
U R' U' R U F' U' F,
U R' U' R U R U R',
U R' U' R U' F' U2 F,
U R' U' R U' R U2 R',
U R' U' R U2 R U' R',
U R' U' R' U R U' R2,
U R' U' R' U' R2 U R2,
U R' U' R' U2 R2 U2 R2,
U R' U' R2 B U B' R',
U R' U' R2 F R F' R',
U R' U2 F' U F2 R F',
U R2 B R U R' B' R2,
U R2 B U B' R' U' R2,
U R2 B' R' U' R' U B,
U R2 B' R2 B F' U' F,
U R2 B' R2 B R U' R',
U R2 B' U' R2 U B R2,
U R2 F D R' D' R' F',
U R2 F R2 D R D' F',
U R2 F' U' F R2 U R2,
U R2 F' U2 F R U2 R2,
U R2 F' U2 F R' U2 R2,
U R2 F' U2 F R2 U2 R2,
U R2 U B U' B2 R2 B,
U R2 U B' R' B U' R2,
U R2 U B' U' R2 U B,
U R2 U F' U' F U' R2,
U R2 U L D' F2 D L',
U R2 U R U' R' U' R',
U R2 U R' U' R' U' R',
U R2 U R2 U' R' U' R',
U R2 U' B U2 B' U R2,
U R2 U' F R F' U R2,
U R2 U' F R2 F' U R2,
U R2 U' R F' U F R2,
U R2 U' R U R U R,
U R2 U' R U R U' R,
U R2 U' R U R U2 R,
U R2 U' R' U F R2 F',
U R2 U' R' U' R2 U2 R2,
U R2 U' R' U2 R U' R2,
U R2 U' R2 U R' U R',
U R2 U' R2 U' R' U2 R2,
U R2 U' R2 U2 R2 U' R2,
U R2 U2 B U' B' U' R2,
U R2 U2 R U R U R2,
U R2 U2 R U' R2 U' R2,
U R2 U2 R U2 R' U R',
U R2 U2 R' B U2 B' R2,
U R2 U2 R' F' U2 F R2,
U R2 U2 R' U R U R2,
U R2 U2 R' U' R' U' R2,
U R2 U2 R' U2 B' R2 B,
U R2 U2 R' U2 R' U2 R',
U R2 U2 R2 U R U R2,
U R2 U2 R2 U' R U' R2,
U R2 U2 R2 U2 F R2 F',
U' B D2 F' U F D2 B',
U' B D2 L U L' D2 B',
U' B F' L U L' B' F,
U' B F' L U' L' B' F,
U' B F' L' U L B' F,
U' B L F' U F L' B',
U' B L R U' L' R' B',
U' B R B U B' R' B',
U' B R B' R B R2 B',
U' B R2 B' R' B R' B',
U' B R2 D B D' R2 B',
U' B R2 D B' D' R2 B',
U' B U B' F R' F' R,
U' B U B' F R2 F' R2,
U' B U B' U' F' U F,
U' B U B' U2 F' U2 F,
U' B U F R' F' R B',
U' B U F' U F U B',
U' B U F' U F U' B',
U' B U F' U F U2 B',
U' B U F' U' B' U F,
U' B U F' U2 B' U' F,
U' B U' B' R2 F R2 F',
U' B U' B' U F' U2 F,
U' B U' B' U R U2 R',
U' B U' B' U' F' U' F,
U' B U' B' U' R U R',
