alg,notes
B2 R2 B R2 B2 U' B',RFU
B2 R2 B R2 B2 U2 B',RFU
B2 R2 B U B U' R2,RFU
B2 R2 B U2 B U2 R2,RFU
B2 R2 B' U2 B' U2 R2,RFU
B2 R2 B2 D B' D' R2,
B2 R2 B2 D B2 D' R2,
B2 R2 B2 R F R F',RFL
B2 R2 B2 R2 F' U2 F,
B2 R2 B2 U R' U' R2,RFU
B2 R2 B2 U R2 U' R2,RFU
B2 R2 D B' D' B' R2,
B2 R2 F R' B2 R' F',RFL
B2 R2 U B' U' B2 R2,RFU
B2 R2 U B2 U' B2 R2,RFU
B2 R2 U2 B' U2 B2 R2,RFU
B2 R2 U2 R' U2 R2 B2,RFU
B2 R2 U2 R2 U2 R2 B2,RFU
B2 U B2 U' R2 B2 R2,RFU
B2 U D' R U R D,
B2 U D' R U' R D,
B2 U D' R U2 R D,
B2 U D' R' U' R' D,
B2 U L' D' R2 D L,
B2 U L2 D' R2 D L2,
B2 U' B2 U R2 B2 R2,RFU
B2 U' R B U B2 R',RFU
B2 U' R B U R' B2,RFU
B2 U' R B' U B2 R',RFU
B2 U' R B' U R' B2,RFU
B2 U' R U B2 U2 R',RFU
B2 U' R' B2 U B2 R,RFU
B2 U' R2 U B2 U' R2,RFU
B2 U2 B U2 R2 B2 R2,RFU
B2 U2 B' U' D' R2 D,
B2 U2 F R2 B' F' R2,
B2 U2 L2 D2 F2 D2 L2,
B2 U2 R B U2 B2 R',RFU
B2 U2 R B U2 R' B2,RFU
B2 U2 R U2 B R' B,RFU
B2 U2 R2 U2 B2 U2 R2,RFU
D B R B' R' B' D',
D B U' B U D' R2,
D B U' B2 U B D',
D B U' B2 U' B D',
D B U' B2 U2 B D',
D B U' L' B' L D',
D B' D' B' U R2 B,
D B' U B2 U2 B' D',
D B' U' B2 U2 B' D',
D B' U2 B' U D' R2,
D B' U2 B2 U' B' D',
D B2 D' F' U F R2,
D B2 D' R' D B2 D',
D B2 D' R2 D B2 D',
D B2 U D' B2 R2 B2,
D B2 U D' R U R,
D B2 U D' R U' R,
D B2 U D' R U2 R,
D B2 U D' R' U' R',
D B2 U2 B' U' D' R2,
D L B U' B' L' D',
D L R' U L' R D',
D L' B L U' B' D',
D L' D2 R D2 L D',
D L' D2 R' D2 L D',
D L' D2 R2 D2 L D',
D L2 D F D' L2 D',
D L2 D F2 D' L2 D',
D L2 F L2 D2 B D,
D L2 F2 U D' L2 B2,
D R D B' D' R' D',
D R' B2 R B2 R D',
D R' B2 R' B2 R D',
D R' B2 R2 B2 R D',
D R2 F2 U D' L2 F2,
D R2 U' R' D B2 D2,
D' B F' U2 B' F D,
D' B R2 B R2 B' D,
D' B R2 B' R2 B' D,
D' B' D' R D B D,
D' B' D' R' D B D,
D' B' D2 L2 F' L2 D',
D' B2 L2 U' D F2 L2,
D' B2 U B2 D' R2 D2,
D' F D2 B D2 F' D,
D' F D2 B' D2 F' D,
D' F R' F' U R D,
D' F R' F' U' R D,
D' F R' F' U2 R D,
D' F' R' U R F D,
D' F2 D' L2 D F2 D,
D' F2 L2 U' D F2 R2,
D' R U R U' D B2,
D' R U' R U' D B2,
D' R U2 R U' D B2,
D' R' B' R' B R D,
D' R' B' R2 B R D,
D' R' D R' U' R B2,
D' R' U F R F' D,
D' R' U R2 U' R' D,
D' R' U' F R F' D,
D' R' U' R2 U R' D,
D' R' U2 F R F' D,
D' R' U2 R2 U2 R' D,
D' R2 B U' B' D B',
D' R2 D B2 D' R2 D,
D' R2 D L U' L' B2,
D' R2 D' F2 U F2 D2,
D' R2 U D B U2 B2,
D' R2 U D B' U2 B2,
D' R2 U' D B U B,
D' R2 U' D B U' B,
D' R2 U' D B U2 B,
D' R2 U' D B' U B',
D' R2 U' D B' U' B',
D' R2 U' D B' U2 B',
D' R2 U' D L' B2 L,
D' R2 U' D R B2 R',
D' R2 U' D R2 B2 R2,
D' R2 U' R' U R2 D,
D' R2 U' R2 U R2 D,
D' R2 U2 R U D B2,
D2 B D2 F' R2 F R2,
D2 B R U R' B' D2,
D2 B R2 B R2 B' D2,
D2 B R2 B' R2 B' D2,
D2 B2 D' R U R2 D',
D2 B2 U' B U B2 D2,
D2 F D R D' F' D2,
D2 F D2 B D2 F' D2,
D2 F D2 B' D2 F' D2,
D2 F' L2 U2 F D2 R2,
D2 F' R2 D2 B' U2 L2,
D2 F2 U' F2 D R2 D,
D2 L B2 D2 R U2 F2,
D2 L' D2 R2 D2 L D2,
D2 R F R F' R' D2,
D2 R F R' F' R' D2,
D2 R F R2 F' R' D2,
D2 R' B2 R2 B2 R D2,
D2 R' D2 L B2 L' B2,
D2 R2 D B U' B2 D,
D2 R2 D B' U' B2 D,
D2 R2 D B2 U' B2 D,
D2 R2 U R' U' R2 D2,
D2 R2 U R2 U' R2 D2,
F D B R D' F' R',
F D B2 D' F' U R2,
F D R' D B D2 F',
F D R' D B' D2 F',
F D R2 D B' D2 F',
F D2 B' D2 F2 U2 F,
F D2 B' D2 R' F' R,
F D2 B' D2 R2 F' R2,
F D2 B2 D' R2 D' F',
F D2 B2 D2 F2 U F,
F L' D R D' L F',
F R B2 R F' R2 B2,RFL
F R B2 R2 F' R B2,RFL
F R D2 B D2 R' F',
F R' B' F' U B R,
F R' B' F' U' B R,
F R' B' F' U2 B R,
F R' D2 B' D2 F' R',
F R' F' L U L' R,
F R' F' L U' L' R,
F R' F' L U2 L' R,
F R' F' R' B2 R2 B2,RFL
F R' F' R2 B2 R' B2,RFL
F R2 B2 R F' R B2,RFL
F R2 F' R' B2 R' B2,RFL
F R2 F' R2 B' U B,
F R2 F' R2 B' U' B,
F R2 F' R2 B' U2 B,
F R2 F' U' D B2 D',
F' D B' U' B D' F,
F' D B' U2 B D' F,
F' D' B U' B' D F,
F' D' B2 U' D L2 F,
F' D' R' U R D F,
F' D2 R2 U2 B' D2 L2,
F' L R' U L' R F,
F' L R' U' L' R F,
F' L' B L U2 B' F,
F' L' B2 L B2 U' F,
F' L' B2 L B2 U2 F,
F' R B' R' U' B F,
F' R B' R' U2 B F,
F' R B2 R' B2 U F,
F' R B2 R' B2 U' F,
F' R D B D' R' F,
F' R' B' U B R F,
F' R' B' U2 B R F,
F' U F R2 B2 R2 B2,
F' U F2 D2 B D2 F',
F' U F2 D2 B2 D2 F',
F' U' B2 L' B2 L F,
F' U' B2 L2 B2 L2 F,
F' U' F L' B2 L B2,
F' U' F R B2 R' B2,
F' U' F R2 B2 R2 B2,
F' U' F' D2 B D2 F2,
F' U' F' D2 B' D2 F2,
F' U' F' D2 B2 D2 F2,
F' U' F2 D2 B' D2 F',
F' U2 B2 R B2 R' F,
F' U2 F R2 B2 R2 B2,
F' U2 F2 D2 B' D2 F',
F2 D F2 R' F2 D' F2,
F2 D L2 D' F2 U B2,
F2 D' L2 D' B D2 F2,
F2 D' L2 D' B' D2 F2,
F2 D' L2 D' B2 D2 F2,
F2 D2 B D2 F U F,
F2 D2 B' D L' D F2,
F2 D2 B2 D L D F2,
F2 D2 B2 D2 F U2 F,
F2 D2 F' D2 F' U2 B2,
F2 D2 L' B2 D2 F2 R',
F2 D2 L2 D2 F2 U2 R2,
F2 D2 R' U2 B2 D2 L',
F2 D2 R2 U2 B2 D2 L2,
F2 L B2 L2 B2 L' F2,RFL
F2 L' D' B' D L F2,
F2 L' D2 B2 D2 L F2,
F2 L2 B L2 F2 U B',
F2 L2 B L2 F2 U' B',
F2 L2 B L2 F2 U2 B',
F2 L2 U' D F2 R2 D',
F2 R D' L2 D R' F2,
F2 R D2 L2 D2 R' F2,
F2 U2 R' D2 B2 L' D2,
L B F' U' B' F L',
L B R U R' B' L',
L B' D' R D B L',
L B' D' R' D B L',
L B' R B U2 L' R',
L B' R2 B R2 U L',
L B' R2 B R2 U' L',
L B' R2 B R2 U2 L',
L B2 L' D2 R D2 B2,
L D B U' B' D' L',
L D R' U R D' L',
L D' F' U' F D L',
L D' R U2 R' D L',
L F L2 D2 B D2 L,
L F R' F' U L' R,
L F R' F' U' L' R,
L F R' F' U2 L' R,
L F R' U F' L' R,
L F R' U' F' L' R,
L F R' U2 F' L' R,
L F R2 F' R2 U L',
L F R2 F' R2 U' L',
L F R2 F' R2 U2 L',
L F' R' U R F L',
L F' R' U' R F L',
L F2 U' D R2 D' L',
L R U B' R' B L',
L R U L' B' R' B,
L R U L' B2 R' B2,
L R U R2 U L' R,
L R U R2 U' L' R,
L R U R2 U2 L' R,
L R U2 B' R' B L',
L R U2 L' B' R' B,
L R U2 L' B2 R' B2,
L R U2 R2 U L' R,
L R U2 R2 U' L' R,
L R U2 R2 U2 L' R,
L R' B' R' B L' R,
L R' B' R2 B L' R,
L R' F U R F' L',
L R' F U' R F' L',
L R' F U2 R F' L',
L R' U F R F' L',
L R' U F2 R F2 L',
L R' U L' F R F',
L R' U R2 U L' R',
L R' U' F R F' L',
L R' U' F2 R F2 L',
L R' U' L' F R F',
L R' U' R2 U' L' R',
L R' U2 F R F' L',
L R' U2 F2 R F2 L',
L R' U2 L' F R F',
L R' U2 R2 U L' R',
L U L D2 R2 D2 L2,
L U L' B2 R2 B2 R2,
L U L2 D2 R2 D2 L,
L U R2 F R2 F' L',
L U R2 F2 R2 F2 L',
L U' L D2 R2 D2 L2,
L U' L' B2 R2 B2 R2,
L U' L2 D2 R2 D2 L,
L U' R2 F R2 F' L',
L U' R2 F2 R2 F2 L',
L U2 L D2 R' D2 L2,
L U2 L D2 R2 D2 L2,
L U2 L' B' R2 B R2,
L U2 L2 D2 R D2 L,
L U2 L2 D2 R' D2 L,
L U2 R2 B' R2 B L',
L' B D2 R D2 L B,
L' B L B2 R2 B R2,RFL
L' B L F' U' B' F,
L' B L R U R' B',
L' B' D2 R D2 B L,
L' B' D2 R' D2 B L,
L' B' R2 B' L B2 R2,RFL
L' B' R2 B2 L B' R2,RFL
L' B2 D' R' D L B2,
L' B2 D2 R D2 L B2,
L' B2 L B R2 B R2,RFL
L' B2 L B2 R U R',
L' B2 L D' R' D B2,
L' B2 R2 B' L B' R2,RFL
L' D L2 F L2 D' L,
L' D L2 F' L2 D' L,
L' D' B D' R' D2 L,
L' D' B D' R2 D2 L,
L' D' B' D' R D2 L,
L' D' B' D' R' D2 L,
L' D' B2 D' R' D2 L,
L' D' R' B' D L B,
L' D' R2 B R2 D L,
L' D' R2 D L U' B2,
L' D2 B' D2 L2 F' L',
L' D2 R D B D L,
L' D2 R D B' D L,
L' D2 R D B2 D L,
L' D2 R D2 B L B',
L' D2 R D2 B2 L B2,
L' D2 R D2 L2 U L',
L' D2 R D2 L2 U' L',
L' D2 R D2 L2 U2 L',
L' D2 R' D B D L,
L' D2 R' D B' D L,
L' D2 R' D B2 D L,
L' D2 R' D2 B L B',
L' D2 R' D2 B2 L B2,
L' D2 R' D2 L2 U L',
L' D2 R' D2 L2 U' L',
L' D2 R' D2 L2 U2 L',
L' D2 R2 D B D L,
L' D2 R2 D B' D L,
L' D2 R2 D B2 D L,
L' D2 R2 D2 B L B',
L' D2 R2 D2 B2 L B2,
L' D2 R2 D2 L2 U L',
L' D2 R2 D2 L2 U' L',
L' R' B2 L B2 U2 R2,
L' R' D2 R2 D2 L R',
L2 B' D F D' B L2,
L2 B' D F2 D' B L2,
L2 B' D2 F D2 B L2,
L2 B' D2 F' D2 B L2,
L2 B' D2 F2 D2 B L2,
L2 D F D R D2 L2,
L2 D F D R' D2 L2,
L2 D F D R2 D2 L2,
L2 D F' D R D2 L2,
L2 D F' D R' D2 L2,
L2 D F' D R2 D2 L2,
L2 D F2 D R' D2 L2,
L2 D F2 D R2 D2 L2,
L2 D R2 F R2 D' L2,
L2 D' F2 D L2 U' R2,
L2 D' L2 B' L2 D L2,
L2 D' R2 D L2 U' B2,
L2 D2 B U2 R2 D2 F,
L2 D2 B2 U2 R2 D2 F2,
L2 D2 F D2 L2 U B,
L2 D2 F D2 L2 U' B,
L2 D2 F R' D2 L2 B,
L2 D2 F R2 D2 L2 B,
L2 D2 F2 D2 L2 U2 B2,
L2 D2 L D2 L U2 R2,
L2 D2 R D' F D' L2,
L2 D2 R D' F' D' L2,
L2 D2 R D' F2 D' L2,
L2 D2 R F D2 L2 B,
L2 D2 R' D' F D' L2,
L2 D2 R' D' F' D' L2,
L2 D2 R' D' F2 D' L2,
L2 D2 R' D2 L' U L',
L2 D2 R' D2 L' U' L',
L2 D2 R' D2 L' U2 L',
L2 D2 R' F D2 L2 B,
