htm,alg,notes
6,D' F2 U' F2 D R2,
6,D' R' F R F' D,
6,D' R2 D B2 U' B2,
6,D' U F' U' F D,
6,D' U R U' R' D,
6,D' U' F' U F D,
6,D' U' R U R' D,
6,D2 L2 U2 L2 D2 R2,
6,D2 R2 D2 L2 U2 L2,
6,F B R' F' R B',
6,F R' F2 U F R,
6,F R' F2 U' F R,
6,F R' F2 U2 F R,
6,F R2 F' R U R,
6,F R2 F' R U' R,
6,F R2 F' R U2 R,
6,F R2 F' R' U' R',
6,F U R' U' F' R,
6,F' B U B' U F,
6,F' B U' B' U F,
6,F' B U' F U' B',
6,F' B U' F U2 B',
6,F' R' U R U2 F,
6,F' R' U' R U F,
6,F' R' U' R U2 F,
6,F' R' U2 R U' F,
6,F' U F2 R2 F' R2,
6,F' U' B F U B',
6,F' U' B F U' B',
6,F' U' B F U2 B',
6,F' U' B U B' F,
6,F' U' B U F B',
6,F' U' B U2 B' F,
6,F' U' B U2 F B',
6,F' U' F B U B',
6,F' U' F B U' B',
6,F' U' F B U2 B',
6,F' U' F R' U R,
6,F' U' F R' U' R,
6,F' U' F R' U2 R,
6,F' U' R' U R F,
6,F' U' R' U' R F,
6,F' U' R' U2 R F,
6,F' U2 B U2 B' F,
6,F' U2 B U2 F B',
6,F2 U' F2 D R2 D',
6,L2 U2 L2 D2 R2 D2,
6,R B U2 B2 R' B,
6,R F R F' U' R',
6,R F R' F' U' R',
6,R U F R' F' R',
6,R U R' B U B',
6,R U R' B U' B',
6,R U R' B U2 B',
6,R U' F R2 F' R',
6,R U' R B' R2 B,
6,R U2 F R' F' R',
6,R U2 R B' R2 B,
6,R' B' R' B U R,
6,R' B' R' B U' R,
6,R' B' R' B U2 R,
6,R' B' R2 B U R,
6,R' B' R2 B U' R,
6,R' B' R2 B U2 R,
6,R' F U R U' F',
6,R' F' U F2 R F',
6,R' U B' R' B R,
6,R' U R F' U' F,
6,R' U' B' R B R,
6,R' U' B' R' B R,
6,R' U' R F' U' F,
6,R' U' R F' U2 F,
6,R' U' R' B' R2 B,
6,R' U2 B' R B R,
6,R' U2 B' R' B R,
6,R' U2 R F' U' F,
6,R2 B U2 B' U2 R2,
6,R2 D B2 U' B2 D',
6,R2 D' F2 U F2 D,
6,R2 D2 L2 U2 L2 D2,
7,U B F' U2 B' U F,
7,U B R U' R' U B',
7,U B R U' R' U' B',
7,U B R U' R' U2 B',
7,U B U B' F' U F,
7,U B U B2 R2 B R2,
7,U B U F' B' U F,
7,U B U F' U2 B' F,
7,U B U F' U2 F B',
7,U B U R U2 R' B',
7,U B U' B' F' U' F,
7,U B U' B' R U R',
7,U B U' B2 R2 B R2,
7,U B U' F' B' U' F,
7,U B U' F' U' B' F,
7,U B U' F' U' F B',
7,U B U' R U R' B',
7,U B U2 F' U B' F,
7,U B U2 F' U F B',
7,U B' F R2 B F' R2,
7,U B' R B2 U' B' R',
7,U B' R2 B R' U' R',
7,U B' U' R U B R',
7,U F B' R2 F' B R2,
7,U F R2 F' R' U R',
7,U F' B U2 B' U F,
7,U F' U2 B U B' F,
7,U F' U2 B U F B',
7,U R B U' B2 R' B,
7,U R B' U' R' U B,
7,U R F R F' U R',
7,U R U R B' R2 B,
7,U R U' R' B U B',
7,U R U' R' B U' B',
7,U R U' R' B U2 B',
7,U R U2 F R2 F' R',
7,U R' U B' R B R,
7,U R' U R F' U2 F,
7,U R' U R' B' R2 B,
7,U R' U' B' R2 B R,
7,U R' U' R F' U F,
7,U R' U' R' F R2 F',
7,U R2 F R2 F2 U' F,
7,U R2 F' U2 F U2 R2,
7,U' B F' U F U B',
7,U' B F' U F U' B',
7,U' B F' U F U2 B',
7,U' B F' U' B' U' F,
7,U' B F' U2 B' U' F,
7,U' B F' U2 F U B',
7,U' B F' U2 F U' B',
7,U' B F' U2 F U2 B',
7,U' B R U2 R' U B',
7,U' B R U2 R' U' B',
7,U' B R U2 R' U2 B',
7,U' B U B' R U R',
7,U' B U F' U B' F,
7,U' B U F' U F B',
7,U' B U' B' R U' R',
7,U' B U' F' U2 B' F,
7,U' B U' F' U2 F B',
7,U' B U' R U' R' B',
7,U' B U2 B' F' U' F,
7,U' B U2 B' R U R',
7,U' B U2 B2 R2 B R2,
7,U' B U2 F' B' U' F,
7,U' B U2 F' U' B' F,
7,U' B U2 F' U' F B',
7,U' B U2 R U R' B',
7,U' D B' R B R' D',
7,U' D B2 U B2 D' R2,
7,U' D R B' R' B D',
7,U' D R2 D' F2 U F2,
7,U' D U B U' B' D',
7,U' D U' R' U R D',
7,U' D' U' F' U2 F D,
7,U' D' U' R U2 R' D,
7,U' F' B U F U B',
7,U' F' B U F U' B',
7,U' F' B U F U2 B',
7,U' F' B U' B' U' F,
7,U' F' B U2 B' U' F,
7,U' F' B U2 F U B',
7,U' F' B U2 F U' B',
7,U' F' B U2 F U2 B',
7,U' F' R' U R U F,
7,U' F' R' U R U' F,
7,U' F' R' U2 R U2 F,
7,U' F' U B F U B',
7,U' F' U B F U' B',
7,U' F' U B F U2 B',
7,U' F' U F B U B',
7,U' F' U F B U' B',
7,U' F' U F B U2 B',
7,U' F' U F R' U R,
7,U' F' U F R' U' R,
7,U' F' U F R' U2 R,
7,U' F' U R' U R F,
7,U' F' U R' U' R F,
7,U' F' U R' U2 R F,
7,U' F' U2 B U' B' F,
7,U' F' U2 B U' F B',
7,U' F' U2 F2 R2 F' R2,
7,U' R B U B2 R' B,
7,U' R F R' F' U R',
7,U' R F R2 F' U R',
7,U' R F R2 F' U' R',
7,U' R U F R F' R',
7,U' R U R F R2 F',
7,U' R U' F R F' R',
7,U' R U' R F R2 F',
7,U' R U2 F R F' R',
7,U' R U2 R F R2 F',
7,U' R' F' U' F2 R F',
7,U' R' U B' R2 B R,
7,U' R' U R F' U F,
7,U' R' U R' F R2 F',
7,U' R' U2 R F' U2 F,
7,U' R' U2 R' B' R2 B,
7,U' R2 B' F R2 B F',
7,U' R2 F B' R2 F' B,
7,U' R2 F R2 F2 U F,
7,U2 B F' U B' U2 F,
7,U2 B F' U' B' U2 F,
7,U2 B F' U2 B' U2 F,
7,U2 B U B' F' U2 F,
7,U2 B U B' R U2 R',
7,U2 B U F' B' U2 F,
7,U2 B U R U R' B',
7,U2 B U' B' F' U2 F,
7,U2 B U' B' R U2 R',
7,U2 B U' F' B' U2 F,
7,U2 B U2 B' F' U2 F,
7,U2 B U2 B' R U2 R',
7,U2 B U2 F' B' U2 F,
7,U2 B' F' R B R' F,
7,U2 B' R B2 U2 B' R',
7,U2 B' R2 B F R2 F',
7,U2 B' R2 B R' U2 R',
7,U2 B' R2 F B R2 F',
7,U2 D U R' U' R D',
7,U2 D' U R U R' D,
7,U2 F R2 B' F' R2 B,
7,U2 F R2 F' B' R2 B,
7,U2 F R2 F' R' U2 R',
7,U2 F' B U B' U2 F,
7,U2 F' B U' B' U2 F,
7,U2 F' B U2 B' U2 F,
7,U2 F' B' R B R' F,
7,U2 F' R B' R' B F,
7,U2 F' R B' R' F B,
7,U2 F' R' U' R U' F,
